Superfamily,Family,Genus,Species,Brain_Size_Species_Mean,Mass_Dimorphism,MeanGroupSize,InterbirthInterval_d,WeaningAge_d,MaxLongevity_m,LitterSz,Precip_Mean_mm,Temp_Mean_degC,HomeRange_km2,DayLength_km,Territoriality,Canine_Dimorphism
Cercopithecoidea,Cercopithecidae,Allenopithecus,nigroviridis,58.02,1.928,NA,NA,106.15,276,1.01,1574,25.2,NA,NA,NA,2.21
Cercopithecoidea,Cercopithecidae,Allocebus,trichotis,NA,1.095,1,NA,NA,NA,1,1902.3,20.3,NA,NA,NA,NA
Ceboidea,Atelidae,Alouatta,belzebul,52.84,1.317,7,NA,NA,NA,NA,1643.5,24.9,NA,NA,NA,1.811
Ceboidea,Atelidae,Alouatta,caraya,52.63,1.539,8,337.62,323.16,243.6,1.01,1166.4,22.9,NA,0.4,NA,1.542
Ceboidea,Atelidae,Alouatta,guariba,51.7,1.275,6.53,NA,NA,NA,NA,1332.3,19.6,0.03,NA,NA,1.783
Ceboidea,Atelidae,Alouatta,palliata,49.88,1.336,12,684.37,495.6,300,1.02,1852.6,23.7,0.19,0.32,0.6506,1.703
Ceboidea,Atelidae,Alouatta,pigra,51.13,1.773,6.6,NA,NA,240,1.01,1341.3,25.1,0.3,NA,NA,1.109
Ceboidea,Atelidae,Alouatta,seniculus,55.22,1.284,7.1,507.35,370.04,300,1.42,1823.4,25.1,0.1,0.55,1.5414,1.464
Ceboidea,Cebidae,Aotus,azarai,20.67,0.959,3.1,365,229.69,360,1,1010.9,24.6,0.095,NA,NA,NA
Ceboidea,Cebidae,Aotus,brumbacki,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceboidea,Cebidae,Aotus,lemurinus,16.3,1.051,NA,NA,76,405.6,1,NA,NA,NA,NA,NA,1.171
Ceboidea,Cebidae,Aotus,nancymaae,NA,1.018,3.9,NA,NA,NA,1.02,2280.4,26.1,NA,NA,NA,NA
Ceboidea,Cebidae,Aotus,nigriceps,NA,0.841,4.1,NA,NA,NA,NA,1807.1,25.2,0.105,0.708,1.9363,NA
Ceboidea,Cebidae,Aotus,trivirgatus,16.85,1.119,2.9,271,76.21,303.6,1.06,1786,24.8,0.02,0.66,4.1359,1.11
Ceboidea,Cebidae,Aotus,vociferans,NA,1.014,3.3,NA,NA,265.2,1.02,2174.4,25.3,NA,NA,NA,NA
Lorisoidea,Lorisidae,Arctocebus,calabarensis,6.92,1.02,NA,144.47,109.26,156,1.01,1844.4,24.8,NA,NA,NA,1
Ceboidea,Atelidae,Ateles,belzebuth,117.02,0.925,22.125,1095,NA,336,1.02,2270.1,25.8,2.28,2.3,1.3499,NA
Ceboidea,Atelidae,Ateles,fusciceps,114.24,0.971,NA,882,410,552,1,NA,NA,NA,NA,NA,NA
Ceboidea,Atelidae,Ateles,geoffroyi,105.09,1.067,15,1048.15,816.35,327.6,1.01,1539.3,24.3,0.73,1.7,1.7633,1.579
Ceboidea,Atelidae,Ateles,paniscus,103.85,1.052,18.2,1072.18,805.41,453.6,1,1576.9,25.6,1.36,2.4,1.8238,1.567
Lemuroidea,Indriidae,Avahi,laniger,9.86,0.846,3,365,149.15,NA,1.01,1769,19.7,0.01,0.46,4.0766,0.942
Lemuroidea,Indriidae,Avahi,occidentalis,7.95,1.091,3.5,NA,NA,NA,1.02,1184.4,24.9,0.01,NA,NA,NA
Ceboidea,Atelidae,Brachyteles,arachnoides,116.72,1.191,20.9,1028.69,734.82,NA,1.02,1327,21.2,1.04,0.9,0.7821,1.336
Hominoidea,Hylobatidae,Bunopithecus,hoolock,110.68,1.119,NA,1080,635.13,492,1.01,1536,17.5,0.413,1.26,1.7376,1.03
Ceboidea,Pitheciidae,Cacajao,calvus,76,1.198,48,775.62,339.29,324,1.01,2118.6,25.5,5.25,3.75,1.4504,1.255
Ceboidea,Pitheciidae,Cacajao,melanocephalus,68.77,1.166,NA,NA,NA,216,1,2310.2,25.1,NA,NA,NA,NA
Ceboidea,Pitheciidae,Callicebus,donacophilus,NA,1.09,NA,NA,NA,300,1.02,1089.3,24.4,NA,NA,NA,NA
Ceboidea,Pitheciidae,Callicebus,hoffmannsi,NA,1.058,NA,NA,NA,NA,1.02,1584.1,25.8,NA,NA,NA,NA
Ceboidea,Pitheciidae,Callicebus,moloch,NA,1.067,3.3,365,58.85,303.6,1.01,1740.3,24.6,0.07,0.55,1.8423,1.079
Ceboidea,Pitheciidae,Callicebus,personatus,NA,0.92,4,NA,NA,NA,1.01,1073.9,21.2,0.047,0.69,2.8206,NA
Ceboidea,Pitheciidae,Callicebus,torquatus,NA,1.058,4.8,NA,NA,NA,NA,NA,NA,0.29,0.8,1.3165,1.059
Ceboidea,Cebidae,Callimico,goeldii,11.43,1.066,7.2,182.5,66.53,214.8,1.05,2091.9,26,0.32,2,3.1333,NA
Ceboidea,Cebidae,Callithrix,argentata,7.95,0.917,NA,219.6,NA,201.6,1.84,1718.5,25.4,NA,NA,NA,NA
Ceboidea,Cebidae,Callithrix,aurita,NA,NA,7.5,NA,NA,NA,2,1480.6,18.8,0.08,NA,NA,NA
Ceboidea,Cebidae,Callithrix,geoffroyi,NA,NA,5,NA,NA,211.2,NA,NA,NA,NA,NA,NA,NA
Ceboidea,Cebidae,Callithrix,humeralifera,NA,0.947,NA,NA,99.01,180,2,1636.7,25.9,0.1,1.12,3.1388,NA
Ceboidea,Cebidae,Callithrix,jacchus,7.24,0.988,11,159.8,60.24,201.6,2.31,993.9,25,0.02,0.88,5.5146,1.056
Ceboidea,Cebidae,Callithrix,kuhlii,NA,NA,5,NA,NA,240,NA,NA,NA,NA,NA,NA,NA
Ceboidea,Cebidae,Callithrix,penicillata,7.32,1.103,8,NA,NA,184.8,2,1172.2,22,0.01,1,8.8623,1.08
Ceboidea,Cebidae,Callithrix,pygmaea,4.17,0.902,2,182.5,90.73,181.2,1.93,2085.3,25.6,0.002,0.29,5.5846,1.034
